entry_time,exit_time,side,contracts,entry_price,exit_price,pnl,exit_reason,duration_min,confidence,partial_exits,r_multiple
2025-11-05 01:06:00,2025-11-05 01:10:00,long,3,6764.5,6767.0,313.0,profit_drawdown,4.0,0.7308780054331876,0,0.2727272727272727
2025-11-05 05:16:00,2025-11-05 05:25:00,short,3,6795.5,6793.25,275.5,profit_drawdown,9.0,0.8184503441691056,0,0.3076923076923077
2025-11-05 14:55:00,2025-11-05 15:10:00,short,3,6820.0,6822.5,-437.0,underwater_timeout,15.0,0.9389293988662699,0,-0.15714285714285714
2025-11-06 00:27:00,2025-11-06 00:29:00,long,3,6813.0,6815.5,313.0,profit_drawdown,2.0,0.7330764462714523,0,0.23684210526315788
2025-11-06 01:29:00,2025-11-06 01:31:00,long,3,6808.0,6811.0,388.0,profit_drawdown,2.0,0.9373176888251364,0,0.39285714285714285
2025-11-06 15:03:00,2025-11-06 15:08:00,long,3,6779.25,6780.0,50.5,adverse_momentum,5.0,0.7609785909903526,0,0.02531645569620253
2025-11-06 15:38:00,2025-11-06 15:53:00,long,3,6768.0,6757.5,-1637.0,underwater_timeout,15.0,0.9324073824362371,0,-0.5733333333333334
2025-11-06 17:22:00,2025-11-06 17:31:00,long,3,6739.0,6743.75,650.5,profit_drawdown,9.0,0.9026055727497315,0,0.26865671641791045
2025-11-07 03:47:00,2025-11-07 03:50:00,long,3,6744.0,6744.25,-24.5,volatility_spike,3.0,0.8530127332188695,0,0.0
2025-11-07 10:15:00,2025-11-07 10:24:00,long,3,6744.25,6738.25,-962.0,sideways_market_exit,9.0,0.8538856609298919,0,-0.8064516129032258
2025-11-07 11:17:00,2025-11-07 11:18:00,long,3,6723.25,6726.0,350.5,profit_drawdown,1.0,0.9054435860640677,0,0.25
2025-11-10 00:54:00,2025-11-10 01:08:00,short,3,6796.5,6795.0,163.0,profit_drawdown,14.0,0.8198850148648249,0,0.23809523809523808
2025-11-10 01:46:00,2025-11-10 01:53:00,short,3,6798.5,6797.5,88.0,profit_drawdown,7.0,0.9481155690214353,0,0.2
2025-11-10 05:07:00,2025-11-10 05:09:00,long,3,6776.25,6781.0,650.5,profit_drawdown,2.0,0.9172678450848302,0,0.42857142857142855
2025-11-10 10:10:00,2025-11-10 10:17:00,short,3,6803.0,6806.0,-512.0,sideways_market_exit,7.0,0.9164404809877034,0,-1.0833333333333333
2025-11-10 14:22:00,2025-11-10 14:23:00,short,3,6819.25,6816.5,350.5,profit_drawdown,1.0,0.8099210964890295,0,0.4166666666666667
2025-11-10 19:44:00,2025-11-10 19:50:00,short,3,6831.0,6826.25,650.5,profit_drawdown,6.0,0.9393071491718841,0,0.32142857142857145
2025-11-11 18:29:00,2025-11-11 18:30:00,long,3,6837.75,6840.5,350.5,profit_drawdown,1.0,0.7833297371710229,0,0.4166666666666667
2025-11-12 02:16:00,2025-11-12 02:23:00,short,3,6878.5,6877.0,163.0,profit_drawdown,7.0,0.8642065873388163,0,0.21739130434782608
2025-11-12 07:16:00,2025-11-12 07:20:00,short,3,6888.75,6887.75,88.0,profit_drawdown,4.0,0.7448047097205923,0,0.2727272727272727
2025-11-12 10:13:00,2025-11-12 10:21:00,short,3,6883.5,6882.5,88.0,profit_drawdown,8.0,0.7116739652598505,0,0.2727272727272727
2025-11-12 10:46:00,2025-11-12 10:51:00,short,3,6887.25,6886.5,50.5,profit_drawdown,5.0,0.9192393832253478,0,0.2
2025-11-12 11:13:00,2025-11-12 11:15:00,short,3,6887.0,6886.5,13.0,profit_drawdown,2.0,0.8470418824992847,0,0.125
2025-11-12 12:34:00,2025-11-12 12:46:00,short,3,6895.75,6895.25,13.0,profit_drawdown,12.0,0.7241271678601369,0,0.1
2025-11-13 00:10:00,2025-11-13 00:12:00,short,3,6867.5,6865.5,238.0,profit_drawdown,2.0,0.8669103156390283,0,0.2916666666666667
2025-11-13 01:12:00,2025-11-13 01:28:00,short,3,6884.25,6879.25,688.0,profit_drawdown,16.0,0.7995178530703064,0,0.3877551020408163
2025-11-13 14:42:00,2025-11-13 15:01:00,long,3,6829.0,6828.5,-137.0,underwater_timeout,19.0,0.931102475487732,0,-0.041666666666666664
2025-11-13 18:40:00,2025-11-13 18:44:00,long,3,6760.25,6766.75,913.0,profit_drawdown,4.0,0.7315033326660767,0,0.46296296296296297
2025-11-14 03:55:00,2025-11-14 03:56:00,long,3,6764.0,6765.0,88.0,volatility_spike,1.0,0.7786392182533453,0,0.16666666666666666
2025-11-14 07:12:00,2025-11-14 07:18:00,long,3,6743.25,6734.5,-1374.5,sideways_market_exit,6.0,0.7649420855155475,0,-0.8780487804878049
